"","Name","Platform","Year_of_Release","Genre","Publisher","NA_players","EU_players","JP_players","Other_players","Global_players","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"2371","Star Wars: The Force Unleashed","DS","2008","Action","LucasArts",5e+06,2800000,0,9e+05,880000,61,8,5.5,18,"n-Space","T"
"2373","Rock Band 3","X360","2010","Misc","MTV Games",7300000,9e+05,0,6e+05,880000,93,57,8.2,137,"Harmonix Music Systems","T"
"2374","WWE SmackDown vs. Raw 2011","X360","2010","Fighting","THQ",4400000,3500000,0,8e+05,880000,75,49,7.6,45,"Yuke's","T"
"2375","ESPN NHL 2K5","PS2","2004","Sports","Global Star",4300000,3300000,0,1100000,880000,86,25,8.1,18,"Kush Games","E"
"2377","Crimson Skies: High Road to Revenge","XB","2003","Simulation","Microsoft Game Studios",6500000,1900000,0,3e+05,870000,88,49,8.8,45,"FASA Studio","T"
"2378","Madden NFL 08","Wii","2007","Sports","Electronic Arts",8e+06,0,0,7e+05,870000,76,29,6.8,27,"EA Tiburon","E"
"2379","Spec Ops: Ranger Elite","PS","2001","Shooter","TalonSoft",4900000,3300000,0,6e+05,870000,48,4,6.6,16,"Runecraft","T"
"2381","F1 2009","Wii","2009","Racing","Codemasters",1500000,6200000,0,1100000,870000,69,29,7.2,30,"Sumo Digital","E"
"2383","Tom Clancy's Ghost Recon: Island Thunder","XB","2003","Shooter","Ubisoft",6100000,2400000,0,3e+05,870000,81,33,8.8,17,"Red Storm Entertainment","M"
"2389","Kingdom Hearts Re: Chain of Memories","PS2","2008","Role-Playing","Square Enix",7300000,3e+05,0,1200000,870000,68,20,7.2,105,"Jupiter Corporation","E10+"
"2390","Phantasy Star Portable 2","PSP","2009","Role-Playing","Sega",8e+05,1100000,6200000,6e+05,870000,69,27,8.1,35,"Alfa System","T"
"2392","Michael Jackson: The Experience","X360","2011","Misc","Ubisoft",6200000,1800000,0,7e+05,870000,63,31,6.8,29,"Ubisoft Montreal","E10+"
"2395","Tony Hawk's Project 8","PS2","2006","Sports","Activision",7200000,3e+05,0,1200000,870000,69,17,7.3,19,"Shaba Games","T"
"2397","GRID","X360","2008","Racing","Codemasters",3300000,4400000,1e+05,9e+05,870000,87,62,7.9,131,"Codemasters","E"
"2398","DiRT","X360","2007","Racing","Codemasters",3800000,4e+06,0,9e+05,870000,83,59,7.4,94,"Codemasters","E"
"2401","Fight Night Round 2","PS2","2005","Fighting","Electronic Arts",7200000,3e+05,0,1200000,870000,88,37,9,37,"EA Sports","T"
"2402","Conflict: Desert Storm","XB","2002","Shooter","SCi",4800000,3700000,0,2e+05,870000,65,14,8.1,17,"SCi","T"
"2405","Cooking Mama: World Kitchen","Wii","2008","Simulation","505 Games",5100000,2700000,1e+05,8e+05,870000,62,17,4.9,12,"Cooking Mama Limited","E"
"2406","Brothers in Arms: Hell's Highway","X360","2008","Shooter","Ubisoft",4700000,3e+06,0,9e+05,870000,76,65,8.3,149,"Gearbox Software","M"
"2407","Vagrant Story","PS","2000","Role-Playing","Crave Entertainment",3e+06,2e+06,3e+06,6e+05,870000,92,19,8.3,129,"SquareSoft","T"
"2408","Warriors Orochi","PS2","2007","Action","Tecmo Koei",1100000,9e+05,6400000,3e+05,870000,55,14,8.2,16,"Omega Force","T"
"2411","Mercenaries 2: World in Flames","PS3","2008","Shooter","Electronic Arts",2900000,3900000,2e+05,1600000,870000,72,43,7.1,73,"Pandemic Studios","T"
"2414","Ghostbusters: The Video Game","Wii","2009","Action","Atari",5900000,2e+06,0,7e+05,860000,76,29,8.5,28,"Red Fly Studio","E10+"
"2418","Endless Ocean: Blue World","Wii","2009","Simulation","Nintendo",4600000,2100000,1200000,6e+05,860000,76,42,8.5,26,"Arika","E10+"
"2419","Winning Eleven: Pro Evolution Soccer 2007","PSP","2006","Sports","Konami Digital Entertainment",1e+05,7200000,1200000,1e+05,860000,81,10,8.3,14,"KCET","E"
"2420","Rocky","PS2","2002","Fighting","Rage Software",4200000,3300000,0,1100000,860000,74,14,8.4,11,"Rage Software","T"
"2421","Ford Racing","PS","2001","Racing","Empire Interactive",4800000,3300000,0,6e+05,860000,53,4,5.8,4,"Toolbox Design","E"
"2423","Guitar Hero: Warriors of Rock","X360","2010","Misc","Activision",4700000,3100000,0,8e+05,860000,72,65,6.5,51,"Neversoft Entertainment","T"
"2425","Lemmings","PSP","2006","Puzzle","Sony Computer Entertainment",1200000,5100000,0,2300000,860000,76,46,7.9,14,"Team 17","E"
"2426","Dynasty Warriors 4: Xtreme Legends","PS2","2003","Action","Tecmo Koei",1700000,1300000,5100000,4e+05,860000,72,15,9.1,39,"Omega Force","T"
"2430","2010 FIFA World Cup South Africa","X360","2010","Sports","Electronic Arts",3200000,4200000,2e+05,9e+05,850000,83,61,8.1,58,"Electronic Arts","E"
"2431","Tomb Raider: Anniversary","Wii","2007","Action","Eidos Interactive",1200000,6200000,0,1100000,850000,73,22,7.3,25,"Crystal Dynamics","T"
"2432","NBA 2K8","X360","2007","Sports","Take-Two Interactive",7900000,0,0,7e+05,850000,81,33,7,28,"Visual Concepts","E"
"2434","Tiger Woods PGA Tour 2005","XB","2004","Sports","Electronic Arts",6400000,1800000,0,3e+05,850000,88,26,8.9,14,"EA Sports","E"
"2439","Dragon Ball Z: Burst Limit","PS3","2008","Fighting","Atari",2200000,3300000,1800000,1200000,850000,71,32,7.2,51,"Dimps Corporation, Namco Bandai Games","T"
"2442","Ninja Gaiden Sigma 2","PS3","2009","Action","Ubisoft Annecy",5200000,1600000,8e+05,1e+06,850000,83,52,7.7,115,"Team Ninja","M"
"2443","Ratatouille","PS2","2007","Action","THQ",3100000,0,0,5300000,850000,65,9,8,11,"Asobo Studio","E"
"2445","Burnout 2: Point of Impact","PS2","2002","Racing","Acclaim Entertainment",4200000,3200000,0,1100000,850000,86,31,8.2,48,"Criterion Games","E"
"2446","Wii Fit U","WiiU","2013","Sports","Nintendo",3500000,2300000,2100000,5e+05,850000,72,19,7.7,72,"Nintendo","E"
"2447","Street Fighter EX3","PS2","2000","Fighting","Virgin Interactive",3200000,2500000,2e+06,8e+05,850000,64,17,7.9,31,"Arika","T"
"2448","The Legendary Starfy","DS","2008","Platform","Nintendo",6e+06,0,2e+06,5e+05,850000,75,25,8.4,26,"TOSE","E"
"2449","NCAA Football 11","PS3","2010","Sports","Electronic Arts",7900000,0,0,6e+05,850000,85,22,7.4,25,"EA Tiburon","E"
"2450","The House of the Dead: Overkill","Wii","2009","Shooter","Sega",4400000,3e+06,2e+05,9e+05,850000,78,65,8.7,95,"Headstrong Games","M"
"2451","Army of Two: The 40th Day","PS3","2010","Shooter","Electronic Arts",4400000,2700000,1e+05,1200000,850000,74,56,7,88,"EA Montreal","M"
"2453","Spider-Man 2","GC","2004","Action","Activision",6500000,1700000,0,2e+05,840000,80,41,8.8,30,"Treyarch","T"
"2456","Ghostbusters: The Video Game","PS3","2009","Action","Sony Computer Entertainment",3400000,3600000,0,1400000,840000,78,74,7.9,96,"Terminal Reality","T"
"2457","The Incredibles","GC","2004","Action","THQ",6500000,1700000,0,2e+05,840000,63,27,7.1,7,"Heavy Iron Studios","T"
"2459","NBA 2K10","PS3","2009","Sports","Take-Two Interactive",7500000,1e+05,1e+05,7e+05,840000,83,30,7.8,39,"Visual Concepts","E"
"2463","Skate 2","PS3","2009","Sports","Electronic Arts",4600000,2500000,1e+05,1200000,840000,84,50,7.8,53,"EA Black Box","T"
"2465","Big Mutha Truckers","PS2","2002","Racing","Empire Interactive",4100000,3200000,0,1100000,840000,62,15,5.3,20,"Eutechnyx","T"
"2467","Rogue Galaxy","PS2","2005","Role-Playing","Sony Computer Entertainment",2400000,1600000,3900000,5e+05,840000,83,59,8.4,89,"Level 5","T"
"2468","ESPN College Hoops 2K5","PS2","2004","Sports","Sega",4100000,3200000,0,1100000,840000,86,14,8.1,10,"Visual Concepts","E"
"2469","NCAA Football 14","PS3","2013","Sports","Electronic Arts",7500000,0,0,9e+05,840000,77,9,6.2,40,"EA Tiburon","E"
"2470","Harry Potter and the Order of the Phoenix","DS","2007","Action","Electronic Arts",2800000,4600000,0,1e+06,840000,51,15,4.9,19,"Visual Impact","E"
"2471","Sniper Elite V2","X360","2012","Shooter","505 Games",4600000,2800000,2e+05,7e+05,840000,67,37,6.8,131,"Rebellion","M"
"2472","Metroid: Zero Mission","GBA","2004","Adventure","Nintendo",6e+06,2200000,0,1e+05,840000,89,50,9,132,"Nintendo","E"
"2474","Burnout Legends","PSP","2005","Racing","Electronic Arts",7e+06,5e+05,0,8e+05,840000,86,53,8.4,108,"Criterion Games","E10+"
"2476","Blazing Angels: Squadrons of WWII","Wii","2007","Simulation","Ubisoft",7400000,4e+05,0,6e+05,830000,57,11,6.7,28,"Ubisoft","T"
"2477","Madden NFL 09 All-Play","Wii","2008","Sports","Electronic Arts",7600000,1e+05,0,6e+05,830000,82,19,7.2,22,"EA Tiburon","E"
"2479","Dynasty Warriors 2","PS2","2000","Action","THQ",2400000,1900000,3400000,6e+05,830000,75,17,8.8,24,"Omega Force","T"
"2481","Time Crisis 4","PS3","2007","Shooter","Namco Bandai Games",3200000,3200000,5e+05,1400000,830000,60,52,7.4,21,"Nex Entertainment","T"
"2483","Lizzie McGuire 2: Lizzie Diaries","GBA","2004","Action","Disney Interactive Studios",6e+06,2200000,0,1e+05,830000,57,6,5,5,"Artificial Mind and Movement","E"
"2485","NCAA Football 12","PS3","2011","Sports","Electronic Arts",7800000,0,0,5e+05,830000,82,17,5.8,41,"EA Sports","E"
"2486","Brute Force","XB","2003","Shooter","Microsoft Game Studios",6200000,1800000,1e+05,3e+05,830000,77,45,7.8,49,"Digital Anvil","M"
"2487","Tiger Woods PGA Tour 11","PS3","2010","Sports","Electronic Arts",3700000,3300000,0,1300000,830000,78,40,6.7,17,"EA Sports","E"
"2489","WWE SmackDown vs. Raw 2009","Wii","2008","Fighting","THQ",4400000,3100000,0,8e+05,830000,79,18,8.5,18,"Yuke's","T"
"2492","Sly 3: Honor Among Thieves","PS2","2005","Platform","Sony Computer Entertainment",6900000,3e+05,0,1100000,830000,83,59,8.8,130,"Sucker Punch","E10+"
"2494","Need for Speed: Nitro","Wii","2009","Racing","Electronic Arts",4500000,3e+06,0,8e+05,830000,69,41,7.4,38,"EA Montreal","E10+"
"2504","James Bond 007: Nightfire","XB","2002","Shooter","Electronic Arts",5800000,2200000,0,3e+05,820000,78,30,7.8,25,"Eurocom Entertainment Software","T"
"2505","Tony Hawk's Pro Skater 3","GC","2001","Sports","Activision",6400000,1700000,0,2e+05,820000,91,27,9,27,"Neversoft Entertainment","T"
"2506","Marvel: Ultimate Alliance","PS2","2006","Role-Playing","Activision",6900000,3e+05,0,1100000,820000,81,29,8.2,33,"Raven Software","T"
"2507","DJ Hero 2","X360","2010","Misc","Activision",6400000,1200000,0,6e+05,820000,86,66,7.9,23,"FreeStyleGames","T"
"2508","Harvest Moon: Tree of Tranquility","Wii","2007","Simulation","Rising Star Games",6700000,3e+05,6e+05,5e+05,820000,65,18,8.2,28,"Marvelous Entertainment","E"
"2509","Tony Hawk's Underground 2 Remix","PSP","2005","Sports","Activision",4600000,2100000,0,1500000,820000,83,49,8,34,"Shaba Games","T"
"2510","Need for Speed: Hot Pursuit 2","XB","2002","Racing","Electronic Arts",6800000,1100000,0,3e+05,820000,75,18,6.4,15,"EA Seattle","E"
"2515","Amped: Freestyle Snowboarding","XB","2001","Sports","Microsoft Game Studios",6900000,1100000,0,2e+05,820000,78,30,9,20,"Indie Built","E"
"2518","Stranglehold","X360","2007","Shooter","Midway Games",4e+06,3300000,1e+05,9e+05,820000,77,59,7.6,91,"Midway","M"
"2526","Dance Central 3","X360","2012","Misc","Microsoft Game Studios",5700000,1800000,0,6e+05,810000,86,43,8,45,"Harmonix Music Systems","T"
"2529","Tales of Destiny II","PS","2000","Role-Playing","Namco Bandai Games",6e+05,4e+05,6600000,5e+05,810000,78,9,8.7,31,"Namco","T"
"2531","NASCAR 2001","PS","2000","Racing","Electronic Arts",4500000,3100000,0,5e+05,810000,73,8,6.1,9,"Black Box","E"
"2533","The Legend of Zelda: Four Swords Adventures","GC","2004","Action","Nintendo",6300000,1600000,0,2e+05,810000,86,55,7.2,74,"Nintendo","E"
"2535","MediEvil: Resurrection","PSP","2005","Adventure","Sony Computer Entertainment",1900000,4100000,0,2200000,810000,66,43,8.7,52,"SCEE","T"
"2536","Valkyrie Profile","PS","1999","Role-Playing","Enix Corporation",7e+05,5e+05,6300000,5e+05,810000,81,8,8.8,37,"Tri-Ace","T"
"2538","Patapon","PSP","2007","Misc","Sony Computer Entertainment",3300000,2500000,7e+05,1600000,810000,86,60,8.7,102,"SCE Japan Studio","E"
"2542","Pro Evolution Soccer 2010","X360","2009","Sports","Konami Digital Entertainment",1200000,5800000,3e+05,8e+05,810000,78,34,7.6,29,"Konami","E"
"2543","Tom Clancy's Rainbow Six 3","PS2","2004","Shooter","Ubisoft",4e+06,3100000,0,1e+06,810000,70,34,8.2,17,"Ubisoft Shanghai","M"
"2544","Madden NFL 25","XOne","2013","Sports","Electronic Arts",6700000,5e+05,0,8e+05,810000,73,18,5.9,111,"EA Sports","E"
"2545","NCAA Football 10","PS3","2009","Sports","Electronic Arts",7500000,0,0,6e+05,810000,80,20,6.9,14,"EA Tiburon","E"
"2548","Guitar Hero: Warriors of Rock","PS3","2010","Misc","Activision",3300000,3400000,0,1300000,810000,74,46,7.1,30,"Neversoft Entertainment","T"
"2553","Dragon Ball: Raging Blast 2","PS3","2010","Fighting","Namco Bandai Games",4200000,1800000,1100000,9e+05,810000,60,27,7.5,63,"Spike","T"
"2556","Yakuza","PS2","2005","Action","Sega",3e+05,2e+05,7400000,1e+05,8e+05,75,58,8.2,73,"Amusement Vision","M"
"2558","Star Wars Rogue Squadron III: Rebel Strike","GC","2003","Simulation","LucasArts",6200000,1600000,0,2e+05,8e+05,75,36,7.6,50,"Factor 5","T"
"2560","Hitman: Contracts","PS2","2004","Shooter","Eidos Interactive",3900000,3100000,0,1e+06,8e+05,80,39,8.3,43,"Io Interactive","M"
"2561","Professor Layton vs Phoenix Wright: Ace Attorney","3DS","2012","Puzzle","Level 5",2e+06,2600000,3e+06,4e+05,8e+05,79,69,8.5,99,"Level 5","T"
"2562","Ben 10: Alien Force","Wii","2008","Action","Koch Media",5200000,2100000,0,7e+05,8e+05,45,6,7.8,11,"Monkey Bar Games","E10+"
"2563","Final Fantasy Anthology","PS","1999","Role-Playing","Square EA",4500000,3e+06,0,5e+05,8e+05,80,14,8.1,28,"SquareSoft","T"
"2564","DiRT 2","X360","2009","Racing","Codemasters",3200000,3900000,0,9e+05,8e+05,87,65,8.2,110,"Codemasters","T"
"2565","Prince of Persia: Warrior Within","XB","2004","Action","Ubisoft",4800000,2800000,0,4e+05,8e+05,83,55,7.5,35,"Ubisoft Montreal","M"
"2568","Pro Evolution Soccer 2010","PSP","2009","Sports","Konami Digital Entertainment",9e+05,3300000,2e+06,1800000,8e+05,72,9,4.6,5,"Konami","E"
"2569","Guitar Hero: Metallica","X360","2009","Misc","Activision",5200000,2e+06,0,7e+05,8e+05,84,62,8.1,79,"Neversoft Entertainment","T"
"2572","Need for Speed: Hot Pursuit 2","GC","2002","Racing","Electronic Arts",6800000,9e+05,0,2e+05,8e+05,68,16,8.3,15,"EA Seattle","E"
"2577","Rayman Raving Rabbids 2","DS","2007","Misc","Ubisoft",7300000,1e+05,0,6e+05,8e+05,57,8,7,15,"Ubisoft Paris","E10+"
"2578","The Sims 2: Pets","PSP","2006","Simulation","Electronic Arts",1900000,3800000,0,2200000,790000,57,9,7.3,10,"Maxis","T"
"2580","Dragon Ball Z: Budokai Tenkaichi 2","PS2","2006","Fighting","Atari",6600000,2e+05,0,1100000,790000,73,31,8.6,61,"Spike","T"
"2581","Guitar Hero: Aerosmith","PS2","2008","Misc","Activision",6100000,0,0,1800000,790000,71,11,6.3,15,"BudCat","T"
"2582","Star Wars The Clone Wars: Republic Heroes","Wii","2009","Action","LucasArts",4300000,2900000,0,7e+05,790000,48,10,6.4,5,"Krome Studios","T"
"2584","pro evolution soccer 2011","PSP","2010","Sports","Konami Digital Entertainment",5e+05,3e+06,2900000,1600000,790000,74,10,5.8,5,"Konami","E"
"2585","Harvest Moon: A Wonderful Life","GC","2003","Role-Playing","Ubisoft",6100000,1600000,0,2e+05,790000,79,28,8.9,148,"Marvelous","E"
"2589","Motocross Mania","PS","2001","Racing","Take-Two Interactive",4400000,3e+06,0,5e+05,790000,34,6,5.3,6,"Deibus Studios","E"
"2592","Need for Speed Rivals","X360","2013","Racing","Electronic Arts",3700000,3500000,1e+05,7e+05,790000,76,12,5.4,107,"Ghost Games","E10+"
"2597","Armored Core 2","PS2","2000","Simulation","Ubisoft",2800000,2200000,2300000,7e+05,790000,78,23,8.4,19,"From Software","T"
"2599","The Godfather II","X360","2009","Action","Electronic Arts",4700000,2300000,1e+05,8e+05,790000,65,72,6.9,60,"EA Redwood Shores","M"
"2605","Band Hero","X360","2009","Misc","Activision",5100000,2100000,0,7e+05,790000,76,52,5,30,"Neversoft Entertainment","E10+"
"2606","NCAA Football 08","PS2","2007","Sports","Electronic Arts",6500000,3e+05,0,1100000,790000,83,6,8.3,23,"EA Tiburon","E"
"2607","FIFA Soccer 2004","XB","2003","Sports","Electronic Arts",2400000,4900000,0,5e+05,790000,82,20,8.2,23,"EA Canada","E"
"2608","The Sims 2: Castaway","PSP","2007","Simulation","Electronic Arts",8e+05,4600000,0,2500000,790000,64,5,7.3,18,"Maxis","E10+"
"2609","Star Ocean: The Last Hope","X360","2009","Role-Playing","Square Enix",3200000,2e+06,2100000,6e+05,790000,72,56,7.2,150,"Square Enix, Tri-Ace","T"
"2610","Sniper: Ghost Warrior","PS3","2011","Shooter","City Interactive",2700000,3400000,4e+05,1300000,790000,53,17,6,34,"City Interactive","M"
"2611","Invizimals","PSP","2009","Strategy","Sony Computer Entertainment",1700000,5e+06,0,1100000,790000,69,32,7.3,19,"Novarama","E10+"
"2614","WWE 2K15","PS3","2014","Sports","Take-Two Interactive",3600000,2900000,0,1300000,780000,55,5,3.1,57,"Yuke's","T"
"2617","Tiger Woods PGA Tour 10","PS3","2009","Sports","Electronic Arts",4200000,2500000,0,1100000,780000,81,38,7.7,9,"EA Tiburon","E"
"2620","Tom Clancy's Splinter Cell: Double Agent","X360","2006","Action","Ubisoft",6700000,4e+05,1e+05,6e+05,780000,85,59,8.1,148,"Ubisoft Shanghai","M"
"2622","Naruto Shippuden: Ultimate Ninja Storm 2","X360","2010","Fighting","Namco Bandai Games",4300000,2700000,1e+05,7e+05,780000,74,31,8.5,39,"CyberConnect2","T"
"2623","Golden Sun: Dark Dawn","DS","2010","Role-Playing","Nintendo",5100000,9e+05,1300000,5e+05,780000,79,63,8.1,86,"Camelot Software Planning","E10+"
"2624","Fight Night Champion","X360","2011","Fighting","Electronic Arts",4e+06,3100000,0,7e+05,780000,86,59,7.4,105,"EA Canada","M"
"2629","Star Wars The Clone Wars: Jedi Alliance","DS","2008","Action","LucasArts",6100000,1100000,0,6e+05,780000,68,10,7.8,32,"LucasArts","E10+"
"2631","Drawn to Life","DS","2007","Action","THQ",7100000,1e+05,0,6e+05,780000,73,34,8.2,30,"5TH Cell","E"
"2632","Sid Meier's Civilization Revolution","PS3","2008","Strategy","Take-Two Interactive",4900000,1900000,1e+05,9e+05,780000,85,39,7.7,87,"Firaxis Games","E10+"
"2633","NBA 2K7","PS2","2006","Sports","Take-Two Interactive",6500000,2e+05,0,1100000,780000,81,12,8.4,18,"Kush Games, Visual Concepts","E"
"2636","James Bond 007: Nightfire","GC","2002","Shooter","Electronic Arts",6e+06,1600000,0,2e+05,780000,80,17,8.6,46,"Eurocom Entertainment Software","T"
"2638","Goldeneye 007: Reloaded","PS3","2011","Shooter","Activision",3300000,3300000,0,1200000,780000,72,38,6.3,52,"Eurocom Entertainment Software","T"
"2643","Lips","X360","2008","Misc","Microsoft Game Studios",1200000,5600000,0,1e+06,770000,71,43,7.4,34,"iNiS","T"
"2648","Need for Speed: ProStreet","PSP","2008","Racing","Electronic Arts",2400000,3300000,1e+05,1900000,770000,57,14,7.1,19,"EA Games","E"
"2650","Marvel Nemesis: Rise of the Imperfects","PS2","2005","Fighting","Electronic Arts",6400000,2e+05,0,1e+06,770000,53,30,6.3,46,"EA Canada, Nihilistic","T"
"2652","Need for Speed: Porsche Unleashed","PS","1999","Racing","Electronic Arts",4300000,2900000,0,5e+05,770000,78,13,8.5,24,"Eden Studios","E"
"2656","UFC Personal Trainer: The Ultimate Fitness System","X360","2011","Sports","THQ",5300000,1800000,0,6e+05,770000,70,36,6.5,15,"THQ","E"
"2658","Worms: Open Warfare","PSP","2006","Strategy","THQ",1100000,4300000,0,2300000,770000,70,22,6.6,18,"Team 17","E10+"
"2662","Star Wars Episode II: Attack of the Clones","GBA","2002","Action","THQ",5500000,2e+06,0,1e+05,770000,38,14,5,6,"David A. Palmer Productions","E"
"2663","Ghost Squad","Wii","2007","Shooter","Sega",4200000,2100000,8e+05,7e+05,770000,69,42,7.5,31,"Artificial Mind and Movement, Polygon Magic","T"
"2665","Maximo: Ghosts to Glory","PS2","2001","Platform","Capcom",3800000,2900000,0,1e+06,770000,84,33,8.7,16,"Capcom","T"
"2666","Donkey Kong Country 3","GBA","2005","Platform","Nintendo",4500000,1700000,1400000,1e+05,770000,77,16,8.4,27,"Rare Ltd.","E"
"2667","All-Star Baseball 2003","PS2","2002","Sports","Acclaim Entertainment",3800000,2900000,0,1e+06,770000,81,15,8.4,17,"Acclaim Studios Austin","E"
"2668","Unlimited Saga","PS2","2002","Role-Playing","Atari",1e+06,8e+05,5600000,3e+05,770000,45,26,3,29,"SquareSoft","T"
"2669","Pokemon Dash","DS","2004","Racing","Nintendo",2100000,1400000,3800000,4e+05,770000,46,28,5.9,34,"Ambrella","E"
"2670","Dragon Ball: Raging Blast","PS3","2009","Fighting","Namco Bandai Games",3700000,1900000,1100000,1e+06,770000,57,26,7.2,58,"Spike","T"
"2671","Twisted Metal: Head On","PSP","2005","Action","Sony Computer Entertainment",7100000,0,0,6e+05,770000,79,45,8.2,38,"Incognito Inc.","T"
"2673","Sonic Unleashed","PS2","2008","Platform","Sega",3700000,4e+05,0,3600000,760000,66,5,6.7,49,"Sonic Team","E10+"
"2680","Driv3r","XB","2004","Racing","Atari",3600000,3800000,0,3e+05,760000,56,57,4.7,69,"Reflections Interactive","M"
"2685","ISS Pro Evolution","PS","1998","Sports","Konami Digital Entertainment",0,0,7100000,5e+05,760000,94,4,8.7,40,"KCET","E"
"2686","Need For Speed: Undercover","PSP","2008","Racing","Electronic Arts",2300000,3100000,3e+05,1900000,760000,52,7,6.8,37,"Piranha Games","T"
"2689","Star Wars Battlefront: Elite Squadron","PSP","2009","Shooter","LucasArts",3800000,2300000,0,1500000,760000,63,25,8,41,"Savage Entertainment","T"
"2696","Syphon Filter: The Omega Strain","PS2","2004","Shooter","Sony Computer Entertainment",3700000,2900000,0,1e+06,760000,65,47,6.9,30,"Sony Bend","M"
"2698","The Sims 3","3DS","2011","Simulation","Electronic Arts",3e+06,3700000,3e+05,7e+05,760000,52,29,3.3,31,"EA Games","T"
"2699","Mortal Kombat: Deception","XB","2004","Fighting","Midway Games",6100000,1200000,0,3e+05,760000,81,53,8.8,24,"Midway","M"
"2700","That's So Raven","GBA","2004","Adventure","Disney Interactive Studios",5400000,2e+06,0,1e+05,760000,39,6,7.6,5,"Vicarious Visions","E"
"2701","DJ Hero","Wii","2009","Misc","Activision",4500000,2300000,0,7e+05,760000,87,22,7.6,19,"Exient Entertainment","T"
"2706","Star Wars: The Force Unleashed II","Wii","2010","Action","LucasArts",5200000,1800000,0,6e+05,760000,71,10,7.8,31,"LucasArts, Red Fly Studio","T"
"2713","Harry Potter and the Half-Blood Prince","Wii","2009","Action","Electronic Arts",2800000,3900000,0,8e+05,750000,60,35,6,8,"EA Bright Light","E10+"
"2714","Wall-E","PS2","2008","Platform","THQ",2100000,0,0,5400000,750000,67,8,8.4,9,"Asobo Studio","E"
"2715","Professor Layton and the Azran Legacy","3DS","2013","Puzzle","Nintendo",0,4800000,2500000,3e+05,750000,81,58,7.9,86,"Level 5","E10+"
"2717","Mega Man X5","PS","2000","Platform","Capcom",3e+06,2100000,2e+06,5e+05,750000,76,10,8.9,55,"Capcom","E"
"2720","Genji: Days of the Blade","PS3","2006","Action","Sony Computer Entertainment",1800000,3700000,6e+05,1400000,750000,55,46,5.8,30,"Game Republic","T"
"2722","Rockstar Games presents Table Tennis","X360","2006","Sports","Take-Two Interactive",2800000,3800000,0,8e+05,750000,81,75,7.8,69,"Rockstar San Diego","E"
"2723","Drawn to Life: The Next Chapter","Wii","2009","Puzzle","THQ",2800000,3900000,0,8e+05,750000,58,22,6,8,"Planet Moon Studios","E"
"2724","PokePark 2: Wonders Beyond","Wii","2011","Action","Nintendo",2600000,1900000,2700000,4e+05,750000,60,18,7,27,"Creatures Inc.","E"
"2725","DJ Hero 2","PS3","2010","Misc","Activision",4700000,1900000,0,1e+06,750000,86,46,7.8,22,"FreeStyleGames","T"
"2726","WWE SmackDown vs. Raw 2009","PSP","2008","Fighting","THQ",4100000,2e+06,0,1400000,750000,72,9,6,9,"Yuke's","T"
"2727","LEGO Batman 2: DC Super Heroes","3DS","2012","Action","Warner Bros. Interactive Entertainment",4100000,2800000,0,6e+05,750000,72,6,5.2,25,"TT Games","E10+"
"2728","SoulCalibur V","PS3","2012","Fighting","Namco Bandai Games",3500000,2300000,7e+05,9e+05,750000,81,53,6.7,150,"Project Soul","T"
"2729","Shark Tale","PS2","2004","Action","Activision",3700000,2900000,0,1e+06,750000,69,30,6.5,6,"Edge of Reality","E"
"2731","Zone of the Enders","PS2","2001","Shooter","Konami Digital Entertainment",3e+06,2400000,1300000,8e+05,750000,78,21,7.4,49,"KCEJ","M"
"2736","Tony Hawk's Underground 2","XB","2004","Sports","Activision",4800000,2400000,0,3e+05,750000,83,55,7.8,12,"Neversoft Entertainment","T"
"2737","Madden NFL 06","PSP","2005","Sports","Electronic Arts",6900000,0,0,6e+05,750000,75,23,7.9,16,"EA Tiburon","E"
"2739","Raving Rabbids: Travel in Time","Wii","2010","Adventure","Ubisoft",2100000,4600000,0,8e+05,750000,62,24,7.6,14,"Ubisoft","E10+"
"2740","Capcom vs. SNK 2: Mark of the Millennium 2001","PS2","2001","Fighting","Capcom",2200000,1700000,3e+06,6e+05,750000,81,22,7.9,27,"Capcom","T"
"2741","MVP 06 NCAA Baseball","PS2","2006","Sports","Electronic Arts",6200000,2e+05,0,1e+06,750000,76,27,9,18,"EA Canada","E"
"2742","Turok","X360","2008","Action","Touchstone",4600000,2e+06,1e+05,7e+05,750000,69,63,7.1,120,"Propaganda Games","M"
"2744","Coded Arms","PSP","2005","Shooter","Konami Digital Entertainment",2800000,2900000,0,1700000,750000,59,42,6.5,61,"Konami","T"
"2745","Final Fantasy Tactics A2: Grimoire of the Rift","DS","2007","Role-Playing","Square Enix",3800000,3e+05,3e+06,4e+05,750000,80,47,6.9,106,"Square Enix","E10+"
"2748","The Lord of the Rings: Conquest","PS3","2009","Action","Electronic Arts",3800000,2500000,0,1100000,740000,54,45,7.1,57,"Pandemic Studios","T"
"2749","Band Hero","PS3","2009","Misc","Activision",4100000,2300000,0,1100000,740000,76,45,5.7,9,"Neversoft Entertainment","E10+"
"2750","Burnout","PS2","2001","Racing","Acclaim Entertainment",3600000,2800000,0,1e+06,740000,79,25,7.7,33,"Criterion Games","E"
"2751","Spectrobes","DS","2007","Role-Playing","Disney Interactive Studios",6600000,2e+05,0,6e+05,740000,63,37,7.9,31,"Jupiter Corporation","E"
